NUM_AUTORIZACION_TC,IND_ANOMALA_SVM,IND_ANOMALA_GN
825365,[-1],BAJA
853535,[-1],NA
907883,[-1],BAJA
936556,[-1],BAJA
909376,[-1],BAJA
855232,[-1],BAJA
916701,[-1],NA
838669,[-1],NA
896625,[-1],NA
912732,[-1],NA
912573,[-1],BAJA
912156,[-1],NA
900525,[-1],NA
824066,[-1],NA
814556,[-1],NA
810723,[-1],NA
884251,[-1],NA
885162,[-1],NA
829742,[-1],NA
845104,[-1],BAJA
892435,[-1],BAJA
914397,[-1],BAJA
854458,[-1],BAJA
882176,[-1],NA
916426,[-1],NA
875044,[-1],NA
815606,[-1],NA
812488,[-1],BAJA
820341,[-1],BAJA
837622,[-1],NA
844398,[-1],NA
865506,[-1],BAJA
909960,[-1],BAJA
902756,[-1],NA
805917,[-1],NA
815577,[-1],NA
847515,[-1],NA
856775,[-1],NA
901145,[-1],NA
910599,[-1],NA
878234,[-1],NA
937047,[-1],BAJA
840618,[-1],NA
895484,[-1],BAJA
860028,[-1],NA
810879,[-1],BAJA
911812,[-1],NA
899430,[-1],NA
824830,[-1],BAJA
842320,[-1],NA
846650,[-1],NA
821063,[-1],NA
906431,[-1],NA
929863,[-1],NA
888871,[-1],BAJA
828768,[-1],NA
837382,[-1],NA
901148,[-1],NA
904457,[-1],NA
911603,[-1],NA
912965,[-1],NA
915545,[-1],NA
849065,[-1],BAJA
898976,[-1],NA
902168,[-1],NA
845022,[-1],NA
862830,[-1],BAJA
849767,[-1],NA
920629,[-1],BAJA
931691,[-1],BAJA
893554,[-1],NA
909574,[-1],NA
837054,[-1],BAJA
818672,[-1],BAJA
863023,[-1],BAJA
873656,[-1],NA
897722,[-1],NA
937714,[-1],NA
847962,[-1],NA
833571,[-1],NA
852991,[-1],NA
933613,[-1],BAJA
818941,[-1],BAJA
902379,[-1],BAJA
807374,[-1],NA
928437,[-1],NA
905666,[-1],NA
842498,[-1],NA
873737,[-1],BAJA
840413,[-1],NA
851008,[-1],BAJA
933447,[-1],NA
881934,[-1],NA
818686,[-1],NA
846124,[-1],BAJA
829187,[-1],BAJA
858803,[-1],NA
842380,[-1],NA
866671,[-1],NA
867545,[-1],NA
920182,[-1],BAJA
924162,[-1],BAJA
889079,[-1],BAJA
830120,[-1],NA
836564,[-1],BAJA
859699,[-1],BAJA
934693,[-1],NA
931398,[-1],NA
866848,[-1],NA
886542,[-1],BAJA
906970,[-1],BAJA
860262,[-1],BAJA
854236,[-1],NA
807041,[-1],BAJA
912750,[-1],NA
929167,[-1],NA
858350,[-1],BAJA
840897,[-1],NA
901681,[-1],NA
934018,[-1],NA
898223,[-1],BAJA
856549,[-1],NA
922570,[-1],NA
811623,[-1],NA
833822,[-1],NA
890478,[-1],BAJA
927170,[-1],NA
906076,[-1],BAJA
828749,[-1],NA
832542,[-1],NA
848395,[-1],NA
913280,[-1],NA
857118,[-1],NA
809002,[-1],NA
820426,[-1],BAJA
921119,[-1],NA
843748,[-1],NA
844115,[-1],NA
811199,[-1],BAJA
833371,[-1],NA
852312,[-1],NA
811407,[-1],NA
925599,[-1],NA
862395,[-1],BAJA
862385,[-1],NA
913741,[-1],NA
810947,[-1],BAJA
842454,[-1],NA
843128,[-1],NA
843933,[-1],BAJA
893011,[-1],NA
813586,[-1],NA
815518,[-1],NA
805362,[-1],BAJA
884526,[-1],BAJA
888737,[-1],NA
915566,[-1],NA
823123,[-1],BAJA
811858,[-1],NA
843701,[-1],NA
847965,[-1],NA
873689,[-1],NA
900980,[-1],NA
880524,[-1],NA
897148,[-1],BAJA
824880,[-1],NA
875725,[-1],NA
891955,[-1],NA
897251,[-1],NA
865498,[-1],BAJA
847917,[-1],NA
911845,[-1],BAJA
917080,[-1],NA
